mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_iter,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4009843349456787,0.06961602940010148,0.02285466194152832,0.002571595555497868,0.0,0.03,150,31,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 20}",0.9024390243902439,0.8439306358381503,0.8734177215189873,0.8902439024390244,0.9012345679012346,0.8822531704175282,0.021809611473421364,6,0.9692307692307692,0.9770992366412213,0.9678407350689127,0.9680365296803652,0.9724770642201835,0.9709368669682904,0.0035001647439126754
0.30637946128845217,0.06537402594328799,0.023652410507202147,0.004970299346359559,0.0,0.03,150,31,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 150, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 30}",0.8834355828220859,0.8187134502923976,0.8789808917197452,0.9024390243902439,0.896969696969697,0.876107729238834,0.029948671284432227,117,0.9470499243570348,0.9532428355957768,0.948170731707317,0.9408194233687405,0.9468892261001517,0.9472344282258043,0.00395684512798597
0.3442712306976318,0.029816321665618144,0.032155179977416994,0.007679487884761175,0.0,0.03,250,7,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 10}",0.8695652173913043,0.8588235294117647,0.89171974522293,0.8834355828220859,0.8780487804878049,0.8763185710671779,0.011336012656402692,109,0.948170731707317,0.9695121951219512,0.944954128440367,0.950920245398773,0.9574468085106383,0.9542008218358091,0.008690225415569405
0.2917943000793457,0.04278546991495232,0.025860357284545898,0.006061483061896849,0.0,0.03,250,7,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 20}",0.8695652173913043,0.8470588235294118,0.8717948717948718,0.8888888888888888,0.8848484848484849,0.8724312572905923,0.01467937835345015,212,0.9418960244648318,0.9620637329286799,0.9431643625192012,0.9465648854961832,0.9424242424242424,0.9472226495666277,0.007596811815100271
0.28601884841918945,0.05649141643768909,0.03211455345153809,0.010750032060703733,0.0,0.03,250,7,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 7, 'classifier__min_samples_leaf': 30}",0.8607594936708861,0.8214285714285714,0.8846153846153846,0.9079754601226994,0.8848484848484849,0.8719254789372053,0.029333447892403358,233,0.9452887537993921,0.9562594268476622,0.9357798165137615,0.9438543247344461,0.9438543247344461,0.9450073293259417,0.006549728700450645
0.5105183601379395,0.11285362340945408,0.023875999450683593,0.0019023367324370343,0.0,0.03,250,15,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 10}",0.8571428571428571,0.8402366863905325,0.8589743589743589,0.9036144578313253,0.8834355828220859,0.8686807886322321,0.022246216700327403,295,0.9953917050691244,0.9969325153374233,0.9938837920489296,0.9984639016897081,0.9969230769230769,0.9963189982136523,0.001557692325880073
0.5007048606872558,0.09644042469079747,0.024280261993408204,0.0013991926457350835,0.0,0.03,250,15,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 20}",0.891566265060241,0.8488372093023255,0.8679245283018868,0.8944099378881988,0.9012345679012346,0.8807945016907773,0.019524917656437876,17,0.9922958397534669,0.9923195084485407,0.9907692307692307,0.9907407407407407,0.9923430321592649,0.9916936703742486,0.000766631000427768
0.47171406745910643,0.09477689336009437,0.033382415771484375,0.008147951193768882,0.0,0.03,250,15,30,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 15, 'classifier__min_samples_leaf': 30}",0.8834355828220859,0.8421052631578947,0.8701298701298701,0.9024390243902439,0.8834355828220859,0.8763090646644361,0.01996212313342375,110,0.9769585253456221,0.9877300613496932,0.9770290964777948,0.975609756097561,0.9725609756097561,0.9779776829760853,0.005137999201186568
0.8575057029724121,0.13311134724273246,0.035555028915405275,0.01112228139800503,0.0,0.03,250,31,10,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 10}",0.8711656441717791,0.8352941176470589,0.8789808917197452,0.8862275449101796,0.8994082840236687,0.8742152964944863,0.021567800873801224,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.6524505615234375,0.15525380687180568,0.03049330711364746,0.0070538062015692545,0.0,0.03,250,31,20,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_iter': 250, 'classifier__max_leaf_nodes': 31, 'classifier__min_samples_leaf': 20}",0.8848484848484849,0.8372093023255814,0.8625,0.8848484848484849,0.8888888888888888,0.8716590321822881,0.019572751687557576,241,0.9969135802469136,0.9984639016897081,0.9984639016897081,0.9984591679506933,0.9984639016897081,0.9981528906533462,0.0006196579153983617
